"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","oversample",,3,50,0.25,6,2,50,0.998441025641026,0.997153846153846,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,50,0.25,6,4,50,0.998523076923077,0.997435897435897,0.999769230769231
"XGBoost","accuracy.all","oversample",,3,50,0.25,6,6,50,0.998697435897436,0.997435897435897,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,6,8,50,0.998533333333333,0.997435897435897,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,6,10,50,0.998512820512821,0.996641025641026,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,50,0.25,6,12,50,0.998461538461539,0.997153846153846,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,50,0.25,8,2,50,0.999384615384615,0.998461538461539,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,8,4,50,0.999282051282051,0.998461538461539,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,8,6,50,0.999435897435897,0.998461538461539,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,8,8,50,0.999384615384615,0.998179487179487,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,8,10,50,0.999353846153846,0.998461538461539,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,8,12,50,0.999364102564103,0.998461538461539,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,10,2,50,0.999733333333333,0.999205128205128,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,10,4,50,0.999558974358974,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,10,6,50,0.999712820512821,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,10,8,50,0.999733333333333,0.999205128205128,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,10,10,50,0.999641025641026,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,10,12,50,0.999712820512821,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,12,2,50,0.999897435897436,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,12,4,50,0.999876923076923,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,12,6,50,0.999764102564103,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,12,8,50,0.999897435897436,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,12,10,50,0.999907692307692,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.25,12,12,50,0.999897435897436,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,2,2,100,0.993764102564103,0.990769230769231,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.5,2,4,100,0.993717948717949,0.990769230769231,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.5,2,6,100,0.993994871794872,0.991794871794872,0.996435897435897
"XGBoost","accuracy.all","oversample",,3,50,0.5,2,8,100,0.993635897435897,0.99025641025641,0.996435897435897
"XGBoost","accuracy.all","oversample",,3,50,0.5,2,10,100,0.993805128205128,0.99074358974359,0.996923076923077
"XGBoost","accuracy.all","oversample",,3,50,0.5,2,12,100,0.9934,0.99025641025641,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.5,4,2,100,0.999020512820513,0.997948717948718,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,4,4,100,0.999041025641026,0.997948717948718,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,4,6,100,0.998984615384615,0.997435897435897,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,4,8,100,0.999102564102564,0.997948717948718,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,4,10,100,0.998974358974359,0.997435897435897,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,4,12,100,0.998974358974359,0.997948717948718,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,6,2,100,0.999789743589744,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,6,4,100,0.999779487179487,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,6,6,100,0.999820512820513,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,6,8,100,0.9998,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,6,10,100,0.999794871794872,0.999461538461539,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,6,12,100,0.999789743589744,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,8,2,100,0.999989743589744,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,8,4,100,0.999984615384615,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,8,6,100,0.999984615384615,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,8,8,100,0.999969230769231,0.999974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,8,10,100,0.999974358974359,0.999974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,8,12,100,0.999984615384615,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,10,2,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,10,4,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,10,6,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,10,8,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,10,10,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,10,12,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,12,2,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,12,4,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,12,6,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,12,8,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,12,10,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.5,12,12,100,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,2,2,50,0.995538461538462,0.993333333333333,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,50,0.75,2,4,50,0.995866666666667,0.993846153846154,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,50,0.75,2,6,50,0.995528205128205,0.993564102564102,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,50,0.75,2,8,50,0.99574358974359,0.993333333333333,0.998230769230769
"XGBoost","accuracy.all","oversample",,3,50,0.75,2,10,50,0.995979487179487,0.994076923076923,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,50,0.75,2,12,50,0.994984615384615,0.992820512820513,0.997435897435897
"XGBoost","accuracy.all","oversample",,3,50,0.75,4,2,50,0.999641025641026,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,4,4,50,0.999661538461538,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,4,6,50,0.999753846153846,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,4,8,50,0.999651282051282,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,4,10,50,0.999702564102564,0.998974358974359,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,4,12,50,0.999764102564103,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,6,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,6,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,6,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,6,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,6,10,50,0.999989743589744,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,6,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,8,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,8,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,8,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,8,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,8,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,8,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,10,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,10,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,10,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,10,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,10,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,10,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,12,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,12,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,12,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,12,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,12,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.75,12,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,2,2,50,0.996379487179487,0.993333333333333,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.9,2,4,50,0.996512820512821,0.994358974358974,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.9,2,6,50,0.996369230769231,0.994358974358974,0.998230769230769
"XGBoost","accuracy.all","oversample",,3,50,0.9,2,8,50,0.996523076923077,0.994871794871795,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.9,2,10,50,0.9964,0.994076923076923,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,50,0.9,2,12,50,0.996482051282051,0.994076923076923,0.99874358974359
"XGBoost","accuracy.all","oversample",,3,50,0.9,4,2,50,0.999866666666667,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,4,4,50,0.999866666666667,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,4,6,50,0.999846153846154,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,4,8,50,0.999928205128205,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,4,10,50,0.99988717948718,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,4,12,50,0.999928205128205,0.999487179487179,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,6,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,6,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,6,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,6,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,6,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,6,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,8,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,8,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,8,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,8,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,8,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,8,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,10,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,10,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,10,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,10,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,10,10,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,10,12,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,12,2,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,12,4,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,12,6,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,12,8,50,1,1,1
"XGBoost","accuracy.all","oversample",,3,50,0.9,12,10,50,1,1,1
