"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","undersample",1000,,50,0.25,4,12,50,0.881251282051282,0.866897435897436,0.891615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.25,6,2,50,0.887169230769231,0.876128205128205,0.899410256410256
"XGBoost","accuracy.all","undersample",1000,,50,0.25,6,4,50,0.887815384615385,0.871641025641026,0.903589743589744
"XGBoost","accuracy.all","undersample",1000,,50,0.25,6,6,50,0.884307692307692,0.871,0.897717948717949
"XGBoost","accuracy.all","undersample",1000,,50,0.25,6,8,50,0.885866666666667,0.875384615384615,0.896692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.25,6,10,50,0.885723076923077,0.871974358974359,0.898
"XGBoost","accuracy.all","undersample",1000,,50,0.25,6,12,50,0.884564102564103,0.873333333333333,0.896692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.25,8,2,50,0.889107692307692,0.875102564102564,0.903871794871795
"XGBoost","accuracy.all","undersample",1000,,50,0.25,8,4,50,0.892553846153846,0.878666666666667,0.902051282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.25,8,6,50,0.891620512820513,0.877358974358974,0.903076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.25,8,8,50,0.890266666666667,0.877384615384615,0.90351282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.25,8,10,50,0.891958974358974,0.877102564102564,0.906948717948718
"XGBoost","accuracy.all","undersample",1000,,50,0.25,8,12,50,0.888328205128205,0.874589743589744,0.907282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.25,10,2,50,0.893938461538462,0.882564102564103,0.906666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.25,10,4,50,0.893353846153846,0.88125641025641,0.903871794871795
"XGBoost","accuracy.all","undersample",1000,,50,0.25,10,6,50,0.894051282051282,0.877666666666667,0.907974358974359
"XGBoost","accuracy.all","undersample",1000,,50,0.25,10,8,50,0.894082051282051,0.879717948717949,0.908307692307692
"XGBoost","accuracy.all","undersample",1000,,50,0.25,10,10,50,0.895384615384615,0.885307692307692,0.906205128205128
"XGBoost","accuracy.all","undersample",1000,,50,0.25,10,12,50,0.893025641025641,0.881948717948718,0.902846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.25,12,2,50,0.896635897435897,0.883769230769231,0.90848717948718
"XGBoost","accuracy.all","undersample",1000,,50,0.25,12,4,50,0.8948,0.880230769230769,0.909282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.25,12,6,50,0.897579487179487,0.882564102564103,0.910538461538462
"XGBoost","accuracy.all","undersample",1000,,50,0.25,12,8,50,0.894933333333333,0.884230769230769,0.905974358974359
"XGBoost","accuracy.all","undersample",1000,,50,0.25,12,10,50,0.893805128205128,0.883076923076923,0.904384615384615
"XGBoost","accuracy.all","undersample",1000,,50,0.25,12,12,50,0.895353846153846,0.881769230769231,0.907692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.5,2,2,100,0.87594358974359,0.864589743589743,0.890307692307692
"XGBoost","accuracy.all","undersample",1000,,50,0.5,2,4,100,0.874933333333333,0.859948717948718,0.885641025641026
"XGBoost","accuracy.all","undersample",1000,,50,0.5,2,6,100,0.87474358974359,0.862,0.886717948717949
"XGBoost","accuracy.all","undersample",1000,,50,0.5,2,8,100,0.876025641025641,0.863,0.891282051282051
"XGBoost","accuracy.all","undersample",1000,,50,0.5,2,10,100,0.873610256410256,0.858461538461538,0.886205128205128
"XGBoost","accuracy.all","undersample",1000,,50,0.5,2,12,100,0.875846153846154,0.865051282051282,0.887692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.5,4,2,100,0.886861538461538,0.87225641025641,0.899025641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.5,4,4,100,0.886553846153846,0.872128205128205,0.901615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.5,4,6,100,0.885379487179487,0.870717948717949,0.896410256410256
