"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","none",,,50,0.95,8,2,50,0.941158974358974,0.934025641025641,0.947179487179487
"XGBoost","accuracy.all","none",,,100,0.75,8,10,50,0.941138461538461,0.932948717948718,0.949
"XGBoost","accuracy.all","none",,,50,0.75,8,10,50,0.941128205128205,0.933333333333333,0.947179487179487
"XGBoost","accuracy.all","none",,,100,0.5,10,2,50,0.941128205128205,0.933333333333333,0.951794871794872
"XGBoost","accuracy.all","none",,,200,0.95,10,10,50,0.941097435897436,0.930769230769231,0.948769230769231
"XGBoost","accuracy.all","none",,,200,0.75,10,6,50,0.941076923076923,0.934076923076923,0.94825641025641
"XGBoost","accuracy.all","none",,,150,0.75,12,6,50,0.941066666666667,0.935384615384615,0.947692307692308
"XGBoost","accuracy.all","none",,,50,0.95,10,4,50,0.941046153846154,0.933128205128205,0.947461538461538
"XGBoost","accuracy.all","none",,,200,0.5,10,6,50,0.941035897435897,0.934589743589744,0.948487179487179
"XGBoost","accuracy.all","none",,,250,0.75,12,8,50,0.941025641025641,0.933051282051282,0.94974358974359
"XGBoost","accuracy.all","none",,,250,0.75,12,10,50,0.941005128205128,0.933564102564103,0.949282051282051
"XGBoost","accuracy.all","none",,,100,0.75,10,6,50,0.940994871794872,0.933846153846154,0.948205128205128
"XGBoost","accuracy.all","none",,,250,0.5,12,10,50,0.940994871794872,0.93351282051282,0.949333333333333
"XGBoost","accuracy.all","none",,,200,0.9,12,12,50,0.940994871794872,0.934871794871795,0.947564102564103
"XGBoost","accuracy.all","none",,,250,0.75,10,6,50,0.940994871794872,0.931461538461539,0.949
"XGBoost","accuracy.all","none",,,150,0.5,12,6,50,0.940984615384615,0.93174358974359,0.948820512820513
"XGBoost","accuracy.all","none",,,200,0.9,8,8,50,0.940984615384615,0.934871794871795,0.948487179487179
"XGBoost","accuracy.all","none",,,50,0.5,8,8,50,0.940974358974359,0.934307692307692,0.946948717948718
"XGBoost","accuracy.all","none",,,100,0.5,10,10,50,0.940974358974359,0.932025641025641,0.947692307692308
"XGBoost","accuracy.all","none",,,150,0.5,10,10,50,0.940974358974359,0.935615384615385,0.949
"XGBoost","accuracy.all","none",,,250,0.9,12,12,50,0.940974358974359,0.932769230769231,0.949230769230769
"XGBoost","accuracy.all","none",,,100,0.75,10,10,50,0.94094358974359,0.933230769230769,0.947179487179487
"XGBoost","accuracy.all","none",,,150,0.95,10,4,50,0.940933333333333,0.93151282051282,0.948487179487179
"XGBoost","accuracy.all","none",,,100,0.75,12,6,50,0.940912820512821,0.934589743589744,0.94774358974359
"XGBoost","accuracy.all","none",,,150,0.95,12,6,50,0.940912820512821,0.932538461538462,0.947461538461538
"XGBoost","accuracy.all","none",,,250,0.75,12,6,50,0.940912820512821,0.933282051282051,0.95025641025641
"XGBoost","accuracy.all","none",,,200,0.5,10,10,50,0.940902564102564,0.933282051282051,0.948589743589743
"XGBoost","accuracy.all","none",,,250,0.75,12,12,50,0.940902564102564,0.935615384615385,0.947461538461538
"XGBoost","accuracy.all","none",,,100,0.5,10,6,50,0.940892307692308,0.934025641025641,0.94825641025641
"XGBoost","accuracy.all","none",,,200,0.9,12,2,50,0.940882051282051,0.933564102564103,0.950076923076923
"XGBoost","accuracy.all","none",,,150,0.5,10,6,50,0.940851282051282,0.93174358974359,0.948717948717949
"XGBoost","accuracy.all","none",,,250,0.5,10,10,50,0.940851282051282,0.932538461538462,0.946948717948718
"XGBoost","accuracy.all","none",,,150,0.95,10,8,50,0.940830769230769,0.932307692307692,0.946666666666667
"XGBoost","accuracy.all","none",,,200,0.75,8,10,50,0.940820512820513,0.932307692307692,0.949230769230769
"XGBoost","accuracy.all","none",,,50,0.5,12,6,50,0.940810256410256,0.933794871794872,0.948717948717949
"XGBoost","accuracy.all","none",,,150,0.75,8,4,50,0.940810256410256,0.934589743589744,0.947974358974359
"XGBoost","accuracy.all","none",,,100,0.95,12,4,50,0.9408,0.931128205128205,0.949384615384615
"XGBoost","accuracy.all","none",,,200,0.75,8,8,50,0.9408,0.933794871794872,0.949282051282051
"XGBoost","accuracy.all","none",,,200,0.5,10,2,50,0.940789743589744,0.933564102564103,0.947179487179487
"XGBoost","accuracy.all","none",,,250,0.9,10,2,50,0.940779487179487,0.934076923076923,0.947461538461538
"XGBoost","accuracy.all","none",,,150,0.5,12,12,50,0.940769230769231,0.933051282051282,0.94774358974359
"XGBoost","accuracy.all","none",,,150,0.75,12,12,50,0.940769230769231,0.932435897435897,0.947974358974359
"XGBoost","accuracy.all","none",,,150,0.9,12,10,50,0.940769230769231,0.934589743589744,0.947230769230769
"XGBoost","accuracy.all","none",,,200,0.75,10,12,50,0.940769230769231,0.934589743589744,0.947179487179487
"XGBoost","accuracy.all","none",,,250,0.9,6,8,50,0.940769230769231,0.931,0.948769230769231
"XGBoost","accuracy.all","none",,,200,0.9,8,12,50,0.940738461538462,0.933794871794872,0.94825641025641
"XGBoost","accuracy.all","none",,,50,0.75,12,12,50,0.940728205128205,0.934871794871795,0.947179487179487
"XGBoost","accuracy.all","none",,,100,0.75,8,12,50,0.940728205128205,0.931307692307692,0.949
"XGBoost","accuracy.all","none",,,100,0.95,12,10,50,0.940717948717949,0.93225641025641,0.947179487179487
"XGBoost","accuracy.all","none",,,200,0.75,12,2,50,0.940717948717949,0.931974358974359,0.948871794871795
"XGBoost","accuracy.all","none",,,200,0.75,12,8,50,0.940717948717949,0.932538461538462,0.946948717948718
"XGBoost","accuracy.all","none",,,50,0.75,8,8,50,0.940707692307692,0.93225641025641,0.946153846153846
"XGBoost","accuracy.all","none",,,150,0.5,10,4,50,0.940707692307692,0.933051282051282,0.948076923076923
"XGBoost","accuracy.all","none",,,50,0.9,8,8,50,0.940697435897436,0.932487179487179,0.947692307692308
"XGBoost","accuracy.all","none",,,150,0.75,10,10,50,0.940697435897436,0.93425641025641,0.947512820512821
"XGBoost","accuracy.all","none",,,200,0.95,12,12,50,0.940697435897436,0.931179487179487,0.947692307692308
"XGBoost","accuracy.all","none",,,250,0.9,12,10,50,0.94068717948718,0.931230769230769,0.946666666666667
"XGBoost","accuracy.all","none",,,50,0.75,8,6,50,0.940676923076923,0.931692307692308,0.947512820512821
"XGBoost","accuracy.all","none",,,100,0.9,10,2,50,0.940676923076923,0.932820512820513,0.949846153846154
"XGBoost","accuracy.all","none",,,100,0.9,12,12,50,0.940676923076923,0.933,0.948769230769231
"XGBoost","accuracy.all","none",,,200,0.9,10,6,50,0.940676923076923,0.935384615384615,0.946948717948718
"XGBoost","accuracy.all","none",,,200,0.75,10,8,50,0.94065641025641,0.934076923076923,0.947179487179487
"XGBoost","accuracy.all","none",,,250,0.5,8,2,50,0.94065641025641,0.933051282051282,0.948487179487179
"XGBoost","accuracy.all","none",,,250,0.5,12,12,50,0.94065641025641,0.935333333333333,0.946435897435897
"XGBoost","accuracy.all","none",,,50,0.9,10,2,50,0.940646153846154,0.931974358974359,0.947974358974359
"XGBoost","accuracy.all","none",,,200,0.75,8,12,50,0.940646153846154,0.93425641025641,0.948487179487179
"XGBoost","accuracy.all","none",,,250,0.5,10,4,50,0.940635897435897,0.932025641025641,0.949051282051282
"XGBoost","accuracy.all","none",,,250,0.5,10,8,50,0.940635897435897,0.932487179487179,0.948205128205128
"XGBoost","accuracy.all","none",,,150,0.75,10,2,50,0.940625641025641,0.933333333333333,0.948205128205128
"XGBoost","accuracy.all","none",,,150,0.75,12,10,50,0.940625641025641,0.933794871794872,0.949051282051282
"XGBoost","accuracy.all","none",,,50,0.75,8,2,50,0.940615384615385,0.933282051282051,0.948717948717949
"XGBoost","accuracy.all","none",,,150,0.75,10,8,50,0.940615384615385,0.934589743589744,0.946948717948718
"XGBoost","accuracy.all","none",,,150,0.5,12,8,50,0.940605128205128,0.934820512820513,0.948025641025641
